parentTag,tag,num,url
经管,经济,546642,https://book.douban.com/tag/经济
经管,商业,503263,https://book.douban.com/tag/商业
经管,金融,418860,https://book.douban.com/tag/金融
经管,投资,382584,https://book.douban.com/tag/投资
经管,营销,218686,https://book.douban.com/tag/营销
经管,理财,198912,https://book.douban.com/tag/理财
经管,创业,161951,https://book.douban.com/tag/创业
经管,股票,105743,https://book.douban.com/tag/股票
经管,广告,86303,https://book.douban.com/tag/广告
经管,企业史,30721,https://book.douban.com/tag/企业史
经管,策划,10947,https://book.douban.com/tag/策划
科技,科普,1004331,https://book.douban.com/tag/科普
科技,互联网,317872,https://book.douban.com/tag/互联网
科技,科学,231632,https://book.douban.com/tag/科学
科技,编程,208974,https://book.douban.com/tag/编程
科技,交互设计,81600,https://book.douban.com/tag/交互设计
科技,算法,69750,https://book.douban.com/tag/算法
科技,用户体验,68224,https://book.douban.com/tag/用户体验
科技,科技,47831,https://book.douban.com/tag/科技
科技,web,23397,https://book.douban.com/tag/web
科技,交互,6812,https://book.douban.com/tag/交互
科技,通信,6659,https://book.douban.com/tag/通信
科技,UE,5765,https://book.douban.com/tag/UE
科技,神经网络,4936,https://book.douban.com/tag/神经网络
科技,UCD,3611,https://book.douban.com/tag/UCD
科技,程序,1455,https://book.douban.com/tag/程序
